Id,SalePrice
1461,117729.85253
1462,153952.336997
1463,185761.231176
1464,188835.940282
1465,192838.924846
1466,176293.700022
1467,173729.169108
1468,165982.752119
1469,188814.74585
1470,123917.534854
1471,172513.757165
1472,95582.9386402
1473,101733.474779
1474,146100.925726
1475,111899.665746
1476,376542.051035
1477,249623.991749
1478,307789.800848
1479,284165.879958
1480,477320.491152
1481,342783.464157
1482,223035.893446
1483,170025.678267
1484,165113.320507
1485,182725.121454
1486,185874.778595
1487,323083.134733
1488,233690.540525
1489,191797.670998
1490,241932.537196
1491,194118.561571
1492,82889.2133143
1493,183894.393248
1494,289593.200496
1495,287053.338257
1496,234831.169616
1497,171477.792775
1498,167220.823525
1499,155107.81462
1500,166955.917294
1501,176230.900377
1502,159403.531658
1503,304934.62388
1504,246945.55519
1505,228499.506061
1506,190069.203959
1507,253637.837381
1508,208058.770033
1509,167020.685874
1510,153762.435699
1511,147172.923435
1512,161450.893192
1513,143191.247467
1514,157666.817192
1515,183177.027234
1516,148888.319704
1517,154860.009599
1518,138495.904919
1519,208507.742429
1520,141124.896404
1521,132399.291788
1522,169531.300645
1523,119797.138032
1524,128696.629201
1525,121019.834753
1526,136283.295365
1527,97507.9252311
1528,125281.787119
1529,146325.637098
1530,165177.555723
1531,136401.86314
1532,99379.43694
1533,141376.465006
1534,127523.735543
1535,141173.153199
1536,121524.497251
1537,80293.6670541
1538,134358.715231
1539,164116.342966
1540,98407.4733113
1541,146390.851052
1542,129233.187067
1543,169735.666798
1544,75177.6177442
1545,121126.303728
1546,147845.31241
1547,126945.787728
1548,131919.737432
1549,111254.831779
1550,150629.515548
1551,107381.753575
1552,150309.300701
1553,140902.934838
1554,124311.10773
1555,172126.295087
1556,97397.2604161
1557,103208.165425
1558,107536.343917
1559,98269.2350942
1560,137048.347516
1561,131803.866225
1562,132990.097722
1563,130092.178289
1564,154213.329399
1565,158366.130451
1566,257264.135692
1567,68435.2618468
1568,231193.010789
1569,141608.749869
1570,136084.925024
1571,121587.241001
1572,141105.426705
1573,218401.692088
1574,116155.290087
1575,216272.584532
1576,231265.900472
1577,186205.772896
1578,149483.859026
1579,140995.831802
1580,196180.806757
1581,153207.16082
1582,134517.308353
1583,307562.465933
1584,224799.612149
1585,140627.318528
1586,68726.2146098
1587,110054.421527
1588,141463.488373
1589,108830.617876
1590,132731.961484
1591,102658.11342
1592,107764.301508
1593,127366.588675
1594,128176.519026
1595,119558.948652
1596,250390.646366
1597,169741.415148
1598,189491.2386
1599,150694.027969
1600,153805.97032
1601,83533.5061375
1602,107906.61512
1603,86925.4970116
1604,260161.709203
1605,233020.411101
1606,161925.729942
1607,166949.49379
1608,220529.497297
1609,190255.22025
1610,162482.340234
1611,157188.304814
1612,173865.908201
1613,157883.38131
1614,127231.279567
1615,93221.8365915
1616,78791.7899264
1617,91147.2218596
1618,119222.088571
1619,141543.487156
1620,146950.509126
1621,142442.51821
1622,139304.373038
1623,237568.133514
1624,216932.999221
1625,123294.993654
1626,165994.57069
1627,180122.609998
1628,283572.322774
1629,174315.968744
1630,365685.423034
1631,243294.642102
1632,241585.079439
1633,164270.500867
1634,184110.95635
1635,177025.849864
1636,158804.522388
1637,201099.256357
1638,202877.358276
1639,181955.539387
1640,245789.173827
1641,172187.658085
1642,233130.256492
1643,234133.325126
1644,232464.483611
1645,183671.204696
1646,162309.657107
1647,168404.432658
1648,134515.483686
1649,140155.405563
1650,120603.849222
1651,116916.7528
1652,104629.372461
1653,102904.616489
1654,147521.894177
1655,147744.233
1656,146326.126839
1657,151750.134823
1658,148500.814036
